Event_ID,Date,Route,Incident_Type,Severity,Vessel_Type_Affected,Flag_State,Estimated_Delay_Hours,Cargo_Volume_Impacted_KT,Lat,Lon,Reroute_Required,Conflict_Phase
EVT-00022,2024-10-19,Persian Gulf – Bay of Bengal,Military Blockade Enforcement,Moderate,Product Tanker,Marshall Islands,5.0,169.0,20.743,90.2875,False,Initial Escalation
EVT-00023,2024-10-20,Strait of Hormuz,Maritime Corridor Suspension,Minor,Suezmax,China,1.4,4.0,25.9065,56.8005,False,Initial Escalation
EVT-00024,2024-10-21,Strait of Hormuz,Coalition Naval Escort Delay,Moderate,LPG Carrier,Malta,57.5,1178.0,27.2322,57.1555,True,Initial Escalation
EVT-00025,2024-10-21,Bab el-Mandeb / Red Sea,Coalition Naval Escort Delay,Moderate,Bulk Carrier,Marshall Islands,73.6,402.0,12.5668,43.0228,False,Initial Escalation
EVT-00026,2024-10-23,Bab el-Mandeb / Red Sea,Maritime Corridor Suspension,Minor,LPG Carrier,Liberia,1.2,59.0,12.7084,43.2604,False,Initial Escalation
EVT-00027,2024-10-26,Strait of Hormuz,Coalition Naval Escort Delay,Minor,LPG Carrier,Japan,2.0,4.0,27.1483,56.2545,False,Initial Escalation
EVT-00028,2024-10-26,Persian Gulf – East China Sea,Military Blockade Enforcement,Moderate,Product Tanker,Panama,11.7,22.0,10.7958,106.9909,False,Initial Escalation
EVT-00029,2024-10-26,Bab el-Mandeb / Red Sea,Unexploded Ordnance Discovery,Minor,Container Ship,Malta,4.9,9.0,13.109,44.1496,False,Initial Escalation
EVT-00030,2024-10-26,Persian Gulf – Sea of Japan,Insurance No-Go Zone Declaration,Minor,Container Ship,Hong Kong,21.0,43.0,23.0032,54.3301,False,Initial Escalation
EVT-00031,2024-10-27,Persian Gulf – Sea of Japan,Insurance No-Go Zone Declaration,Moderate,Aframax,Marshall Islands,4.0,168.0,32.8228,68.7854,False,Initial Escalation
EVT-00032,2024-10-28,Strait of Hormuz,Insurance No-Go Zone Declaration,Moderate,LNG Carrier,Liberia,57.4,234.0,27.2052,56.9799,False,Initial Escalation
EVT-00033,2024-10-28,Strait of Hormuz,Naval Mine Detonation,Moderate,VLCC,Japan,16.4,112.0,27.2635,55.5535,False,Initial Escalation
EVT-00034,2024-10-29,Strait of Hormuz,Cyber-Attack on Port Systems,Severe,LNG Carrier,Greece,22.9,1465.0,25.5594,56.0212,True,Initial Escalation
EVT-00035,2024-10-31,Strait of Malacca,Naval Mine Detonation,Severe,LNG Carrier,Japan,7.1,866.0,3.4245,101.8944,True,Initial Escalation
EVT-00036,2024-11-01,Persian Gulf – Bay of Bengal,Cyber-Attack on Port Systems,Minor,Aframax,Bahamas,1.0,43.0,19.4983,88.3269,False,Initial Escalation
EVT-00037,2024-11-01,Bab el-Mandeb / Red Sea,Piracy / Armed Boarding,Severe,LPG Carrier,Marshall Islands,17.9,605.0,12.7584,44.0713,True,Initial Escalation
EVT-00038,2024-11-02,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Minor,Product Tanker,Hong Kong,8.0,13.0,12.7677,42.4533,False,Initial Escalation
EVT-00039,2024-11-03,Bab el-Mandeb / Red Sea,Drone Strike Near Vessel,Moderate,LPG Carrier,Liberia,0.6,274.0,12.7256,43.1509,False,Initial Escalation
EVT-00040,2024-11-03,Strait of Hormuz,GPS Spoofing / Jamming Incident,Critical,Bulk Carrier,Malta,12.6,452.0,26.7154,56.9621,True,Initial Escalation
EVT-00041,2024-11-05,Bab el-Mandeb / Red Sea,Unexploded Ordnance Discovery,Severe,Aframax,Panama,5.0,129.0,12.9064,42.6645,True,Initial Escalation
EVT-00042,2024-11-05,Bab el-Mandeb / Red Sea,Port Closure (Military),Minor,LNG Carrier,Liberia,10.8,21.0,12.1139,44.0698,False,Initial Escalation
EVT-00043,2024-11-06,Bab el-Mandeb / Red Sea,Oil Spill from Damaged Tanker,Severe,LNG Carrier,China,32.2,1273.0,12.5357,42.535,True,Initial Escalation
EVT-00044,2024-11-06,Bab el-Mandeb / Red Sea,Port Closure (Military),Minor,Aframax,Liberia,11.3,187.0,11.8327,43.6215,False,Initial Escalation
EVT-00045,2024-11-06,Strait of Hormuz,Drone Strike Near Vessel,Moderate,VLCC,Malta,17.3,243.0,27.2381,55.5183,False,Initial Escalation
EVT-00046,2024-11-06,Strait of Hormuz,Port Closure (Military),Moderate,Container Ship,Hong Kong,50.2,92.0,26.8741,56.7563,False,Initial Escalation
EVT-00047,2024-11-07,Strait of Hormuz,Naval Mine Detonation,Critical,LPG Carrier,Hong Kong,436.4,370.0,26.1985,56.0092,True,Initial Escalation
EVT-00048,2024-11-07,Strait of Hormuz,GPS Spoofing / Jamming Incident,Moderate,LPG Carrier,Bahamas,17.0,35.0,26.7061,55.3221,False,Initial Escalation
EVT-00049,2024-11-07,Strait of Hormuz,Houthi Anti-Ship Missile,Minor,Suezmax,Liberia,3.4,15.0,25.5008,56.9185,False,Initial Escalation
EVT-00050,2024-11-07,Suez Canal,IRGC Fast-Boat Harassment,Critical,Container Ship,Greece,826.0,116.0,30.5629,32.8889,True,Initial Escalation
EVT-00051,2024-11-07,Suez Canal,Maritime Corridor Suspension,Severe,VLCC,Bahamas,84.3,583.0,31.4727,31.9601,True,Initial Escalation
EVT-00052,2024-11-08,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Minor,Product Tanker,Liberia,7.7,12.0,13.606,43.494,False,Initial Escalation
EVT-00053,2024-11-11,Persian Gulf – Bay of Bengal,GPS Spoofing / Jamming Incident,Severe,LPG Carrier,Bahamas,56.5,434.0,21.7298,47.7022,True,Initial Escalation
EVT-00054,2024-11-11,Bab el-Mandeb / Red Sea,Missile Attack on Tanker,Severe,Product Tanker,Panama,45.5,1098.0,12.6932,44.1387,True,Initial Escalation
EVT-00055,2024-11-11,Bab el-Mandeb / Red Sea,Oil Spill from Damaged Tanker,Moderate,Suezmax,Hong Kong,55.4,24.0,13.2553,43.6975,False,Initial Escalation
EVT-00056,2024-11-12,Bab el-Mandeb / Red Sea,Port Closure (Military),Critical,Container Ship,Singapore,37.2,315.0,13.1397,43.9669,True,Initial Escalation
EVT-00057,2024-11-14,Suez Canal,Drone Strike Near Vessel,Severe,Aframax,China,2.8,650.0,31.3561,32.372,True,Initial Escalation
EVT-00058,2024-11-15,Strait of Hormuz,Port Closure (Military),Minor,Container Ship,China,3.0,56.0,27.3853,56.8267,False,Initial Escalation
EVT-00059,2024-11-16,Suez Canal,Maritime Corridor Suspension,Minor,Aframax,Malta,5.9,21.0,29.7654,32.6248,False,Initial Escalation
EVT-00060,2024-11-16,Bab el-Mandeb / Red Sea,Cyber-Attack on Port Systems,Severe,LNG Carrier,Marshall Islands,0.9,204.0,12.8355,43.4621,True,Initial Escalation
EVT-00061,2024-11-17,Strait of Hormuz,Oil Spill from Damaged Tanker,Minor,Product Tanker,Hong Kong,1.2,106.0,27.3703,57.2596,False,Initial Escalation
EVT-00062,2024-11-18,Strait of Hormuz,Port Closure (Military),Minor,Bulk Carrier,Bahamas,3.6,78.0,26.0843,56.2202,False,Initial Escalation
EVT-00063,2024-11-18,Bab el-Mandeb / Red Sea,Maritime Corridor Suspension,Critical,Suezmax,Marshall Islands,105.3,159.0,13.6246,42.3033,True,Initial Escalation
EVT-00064,2024-11-18,Suez Canal,Unexploded Ordnance Discovery,Severe,LPG Carrier,Malta,52.6,1483.0,30.2732,32.6942,True,Initial Escalation
EVT-00065,2024-11-21,Suez Canal,IRGC Fast-Boat Harassment,Severe,VLCC,Panama,218.7,795.0,31.4779,33.1726,True,Initial Escalation
EVT-00066,2024-11-21,Suez Canal,Missile Attack on Tanker,Minor,LNG Carrier,Japan,2.2,45.0,30.0675,32.2832,False,Initial Escalation
EVT-00067,2024-11-21,Persian Gulf – Sea of Japan,Piracy / Armed Boarding,Critical,Container Ship,Singapore,21.6,166.0,7.3015,90.023,True,Initial Escalation
EVT-00068,2024-11-21,Suez Canal,Unexploded Ordnance Discovery,Minor,LNG Carrier,Malta,1.6,6.0,30.1768,33.0083,False,Initial Escalation
EVT-00069,2024-11-22,Suez Canal,Insurance No-Go Zone Declaration,Moderate,LPG Carrier,Singapore,15.1,308.0,29.5596,32.57,True,Initial Escalation
EVT-00070,2024-11-22,Bab el-Mandeb / Red Sea,Missile Attack on Tanker,Moderate,Container Ship,Japan,7.6,37.0,12.5214,42.3819,False,Initial Escalation
EVT-00071,2024-11-23,Cape of Good Hope (reroute),Drone Strike Near Vessel,Moderate,LPG Carrier,Malta,43.9,71.0,-34.8761,18.5155,False,Initial Escalation
EVT-00072,2024-11-23,Bab el-Mandeb / Red Sea,Drone Strike Near Vessel,Severe,VLCC,Japan,48.4,1357.0,13.2904,42.8241,True,Initial Escalation
EVT-00073,2024-11-23,Strait of Hormuz,Maritime Corridor Suspension,Severe,LPG Carrier,China,158.2,50.0,26.6429,56.0681,True,Initial Escalation
EVT-00074,2024-11-23,Strait of Hormuz,Port Closure (Military),Moderate,Aframax,Japan,10.6,126.0,26.792,56.1148,True,Initial Escalation
EVT-00075,2024-11-23,Strait of Hormuz,Port Closure (Military),Moderate,LPG Carrier,Hong Kong,39.0,36.0,27.4812,56.9609,True,Initial Escalation
EVT-00076,2024-11-23,Suez Canal,Naval Mine Detonation,Severe,LPG Carrier,Hong Kong,9.8,469.0,30.1196,32.0675,True,Initial Escalation
EVT-00077,2024-11-23,Bab el-Mandeb / Red Sea,Piracy / Armed Boarding,Moderate,LNG Carrier,Panama,4.0,355.0,12.5293,43.3341,False,Initial Escalation
EVT-00078,2024-11-24,Suez Canal,IRGC Fast-Boat Harassment,Critical,Aframax,Japan,73.1,134.0,31.1613,31.4583,True,Initial Escalation
EVT-00079,2024-11-24,Strait of Hormuz,Naval Mine Detonation,Moderate,Aframax,Panama,18.3,84.0,26.2645,56.4641,False,Initial Escalation
EVT-00080,2024-11-25,Bab el-Mandeb / Red Sea,Cyber-Attack on Port Systems,Severe,VLCC,Malta,57.9,151.0,13.1696,43.8695,True,Initial Escalation
EVT-00081,2024-11-25,Strait of Hormuz,Port Closure (Military),Moderate,Aframax,China,5.5,48.0,26.7861,57.2612,False,Initial Escalation
EVT-00082,2024-11-26,Strait of Hormuz,Insurance No-Go Zone Declaration,Critical,Suezmax,Liberia,248.3,214.0,26.8583,56.2581,True,Initial Escalation
EVT-00083,2024-11-27,Bab el-Mandeb / Red Sea,Cyber-Attack on Port Systems,Moderate,Suezmax,Malta,29.8,478.0,13.1324,43.8746,False,Initial Escalation
EVT-00084,2024-11-28,Bab el-Mandeb / Red Sea,Military Blockade Enforcement,Moderate,Container Ship,Greece,10.7,115.0,13.083,43.4696,False,Initial Escalation
EVT-00085,2024-11-28,Bab el-Mandeb / Red Sea,Drone Strike Near Vessel,Minor,Bulk Carrier,Hong Kong,5.7,43.0,11.9507,43.0807,False,Initial Escalation
EVT-00086,2024-11-30,Suez Canal,Piracy / Armed Boarding,Minor,Container Ship,Malta,10.9,59.0,30.0173,32.1453,False,Initial Escalation
EVT-00087,2024-12-02,Cape of Good Hope (reroute),Piracy / Armed Boarding,Severe,Container Ship,Marshall Islands,5.1,599.0,-33.5845,18.1823,True,Initial Escalation
EVT-00088,2024-12-05,Strait of Hormuz,Unexploded Ordnance Discovery,Moderate,Container Ship,Malta,0.7,458.0,27.2906,55.6126,False,Initial Escalation
EVT-00089,2024-12-06,Persian Gulf – East China Sea,Naval Mine Detonation,Moderate,Bulk Carrier,China,51.7,465.0,21.4198,94.8561,False,Initial Escalation
EVT-00090,2024-12-08,Strait of Hormuz,Unexploded Ordnance Discovery,Minor,Suezmax,Malta,5.9,14.0,25.9024,57.2896,False,Initial Escalation
EVT-00091,2024-12-09,Persian Gulf – Bay of Bengal,Port Closure (Military),Minor,LPG Carrier,Singapore,8.4,69.0,27.2818,81.1223,False,Initial Escalation
EVT-00092,2024-12-10,Strait of Hormuz,Houthi Anti-Ship Missile,Severe,LPG Carrier,China,139.1,599.0,26.3401,56.8114,True,Initial Escalation
EVT-00093,2024-12-10,Bab el-Mandeb / Red Sea,Missile Attack on Tanker,Moderate,Container Ship,Bahamas,11.4,17.0,13.3015,43.0486,False,Initial Escalation
EVT-00094,2024-12-11,Strait of Malacca,GPS Spoofing / Jamming Incident,Critical,LNG Carrier,Bahamas,36.9,142.0,2.6135,102.6708,True,Initial Escalation
EVT-00095,2024-12-11,Bab el-Mandeb / Red Sea,GPS Spoofing / Jamming Incident,Moderate,Product Tanker,Marshall Islands,2.8,213.0,12.0824,43.766,True,Initial Escalation
EVT-00096,2024-12-11,Suez Canal,IRGC Fast-Boat Harassment,Minor,Product Tanker,Greece,0.8,11.0,29.6651,32.927,False,Initial Escalation
EVT-00097,2024-12-11,Bab el-Mandeb / Red Sea,Coalition Naval Escort Delay,Minor,LNG Carrier,Liberia,2.8,3.0,12.7104,42.3385,False,Initial Escalation
EVT-00098,2024-12-11,Persian Gulf – Sea of Japan,Coalition Naval Escort Delay,Moderate,LNG Carrier,Greece,31.5,221.0,17.3497,78.0855,False,Initial Escalation
EVT-00099,2024-12-13,Suez Canal,Port Closure (Military),Moderate,LNG Carrier,Japan,9.7,14.0,29.8597,32.8054,False,Initial Escalation
EVT-00100,2024-12-13,Arabian Sea – South China Sea,Military Blockade Enforcement,Minor,Bulk Carrier,Singapore,7.2,60.0,19.3095,73.4391,False,Initial Escalation
EVT-00101,2024-12-13,Strait of Hormuz,Maritime Corridor Suspension,Moderate,Product Tanker,Japan,6.7,111.0,26.1328,56.5302,False,Initial Escalation
EVT-00102,2024-12-16,Suez Canal,Houthi Anti-Ship Missile,Minor,Product Tanker,Panama,3.7,31.0,29.6234,31.5325,True,Initial Escalation
EVT-00103,2024-12-17,Cape of Good Hope (reroute),GPS Spoofing / Jamming Incident,Critical,Bulk Carrier,Malta,81.2,2645.0,-34.9289,18.4177,True,Initial Escalation
EVT-00104,2024-12-18,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Moderate,LPG Carrier,Greece,52.2,413.0,13.4666,42.3837,False,Initial Escalation
EVT-00105,2024-12-19,Persian Gulf – East China Sea,Insurance No-Go Zone Declaration,Minor,Aframax,Panama,5.5,72.0,27.9666,95.4573,False,Initial Escalation
EVT-00106,2024-12-19,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Severe,LNG Carrier,Malta,62.9,380.0,13.3926,43.3919,True,Initial Escalation
EVT-00107,2024-12-20,Bab el-Mandeb / Red Sea,Piracy / Armed Boarding,Severe,LPG Carrier,Singapore,38.2,384.0,13.6164,42.9519,True,Initial Escalation
EVT-00108,2024-12-20,Suez Canal,Unexploded Ordnance Discovery,Severe,Suezmax,Japan,61.7,181.0,31.2727,31.3076,True,Initial Escalation
EVT-00109,2024-12-21,Strait of Malacca,Houthi Anti-Ship Missile,Severe,Bulk Carrier,China,32.8,45.0,3.3478,102.1093,True,Initial Escalation
EVT-00110,2024-12-21,Strait of Hormuz,Port Closure (Military),Moderate,Container Ship,Greece,8.6,203.0,26.5255,56.7862,False,Initial Escalation
EVT-00111,2024-12-21,Bab el-Mandeb / Red Sea,Port Closure (Military),Minor,Aframax,Hong Kong,4.3,15.0,13.7654,43.9546,False,Initial Escalation
EVT-00112,2024-12-22,Aden Gulf – Indian Ocean,Unexploded Ordnance Discovery,Moderate,Product Tanker,Liberia,36.5,65.0,15.8566,69.1859,False,Initial Escalation
EVT-00113,2024-12-22,Aden Gulf – Indian Ocean,Military Blockade Enforcement,Minor,LNG Carrier,Bahamas,10.8,78.0,9.7208,101.0644,False,Initial Escalation
EVT-00114,2024-12-24,Bab el-Mandeb / Red Sea,Coalition Naval Escort Delay,Moderate,LPG Carrier,Greece,45.4,326.0,11.978,42.5425,True,Initial Escalation
EVT-00115,2024-12-24,Strait of Malacca,IRGC Fast-Boat Harassment,Severe,Product Tanker,Japan,65.9,227.0,3.4934,101.6184,True,Initial Escalation
EVT-00116,2024-12-27,Suez Canal,Naval Mine Detonation,Moderate,Aframax,Marshall Islands,47.5,13.0,30.0122,32.1075,True,Initial Escalation
EVT-00117,2024-12-27,Persian Gulf – East China Sea,Missile Attack on Tanker,Severe,VLCC,Hong Kong,5.3,635.0,9.3939,101.6332,True,Initial Escalation
EVT-00118,2024-12-28,Cape of Good Hope (reroute),Naval Mine Detonation,Critical,Aframax,Hong Kong,25.4,1832.0,-34.0883,19.282,True,Initial Escalation
EVT-00119,2024-12-29,Aden Gulf – Indian Ocean,Naval Mine Detonation,Severe,Bulk Carrier,Marshall Islands,12.0,291.0,4.7886,108.0822,True,Initial Escalation
EVT-00120,2024-12-30,Strait of Hormuz,Naval Mine Detonation,Minor,Aframax,Bahamas,3.0,70.0,27.1481,57.1064,False,Initial Escalation
EVT-00121,2024-12-30,Bab el-Mandeb / Red Sea,Missile Attack on Tanker,Moderate,LPG Carrier,Singapore,12.7,32.0,12.5711,43.5192,False,Initial Escalation
EVT-00122,2024-12-31,Persian Gulf – Bay of Bengal,Cyber-Attack on Port Systems,Minor,Product Tanker,Marshall Islands,1.6,11.0,31.9762,81.7997,False,Initial Escalation
EVT-00123,2024-12-31,Strait of Hormuz,Insurance No-Go Zone Declaration,Moderate,VLCC,Panama,34.3,503.0,26.5762,56.505,True,Initial Escalation
EVT-00124,2025-01-01,Suez Canal,Unexploded Ordnance Discovery,Severe,LPG Carrier,Malta,76.9,872.0,30.6182,31.8948,True,Regional Spread
EVT-00125,2025-01-03,Cape of Good Hope (reroute),Military Blockade Enforcement,Minor,Suezmax,Bahamas,20.2,23.0,-33.9603,19.0198,False,Regional Spread
EVT-00126,2025-01-04,Strait of Hormuz,Military Blockade Enforcement,Severe,LNG Carrier,Greece,18.7,218.0,26.6563,55.4417,True,Regional Spread
EVT-00127,2025-01-04,Strait of Hormuz,Unexploded Ordnance Discovery,Minor,Product Tanker,Bahamas,2.5,93.0,25.8536,57.1012,False,Regional Spread
EVT-00128,2025-01-04,Bab el-Mandeb / Red Sea,Houthi Anti-Ship Missile,Minor,Bulk Carrier,Japan,3.7,1.0,12.9103,43.0276,False,Regional Spread
EVT-00129,2025-01-05,Strait of Hormuz,Oil Spill from Damaged Tanker,Severe,LNG Carrier,Liberia,26.8,429.0,26.3287,56.6791,True,Regional Spread
EVT-00130,2025-01-05,Cape of Good Hope (reroute),Cyber-Attack on Port Systems,Moderate,Aframax,Liberia,11.3,65.0,-33.5062,18.4047,True,Regional Spread
EVT-00131,2025-01-05,Suez Canal,Piracy / Armed Boarding,Minor,VLCC,Japan,5.8,104.0,30.4413,32.1164,False,Regional Spread
EVT-00132,2025-01-06,Suez Canal,Coalition Naval Escort Delay,Critical,LPG Carrier,Hong Kong,153.4,127.0,31.1305,32.9659,True,Regional Spread
EVT-00133,2025-01-07,Cape of Good Hope (reroute),Insurance No-Go Zone Declaration,Moderate,Bulk Carrier,Hong Kong,48.5,154.0,-33.664,17.8358,False,Regional Spread
EVT-00134,2025-01-07,Bab el-Mandeb / Red Sea,Coalition Naval Escort Delay,Minor,Aframax,Japan,5.2,5.0,12.2631,43.1056,False,Regional Spread
EVT-00135,2025-01-07,Bab el-Mandeb / Red Sea,Cyber-Attack on Port Systems,Moderate,VLCC,Japan,12.9,29.0,11.9689,43.5855,False,Regional Spread
EVT-00136,2025-01-07,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Severe,Bulk Carrier,Malta,133.0,280.0,12.4916,42.3234,True,Regional Spread
EVT-00137,2025-01-08,Bab el-Mandeb / Red Sea,Unexploded Ordnance Discovery,Severe,Suezmax,Hong Kong,32.1,2972.0,13.7963,42.4753,True,Regional Spread
EVT-00138,2025-01-09,Bab el-Mandeb / Red Sea,Missile Attack on Tanker,Minor,Suezmax,Japan,6.0,91.0,12.5423,44.0708,False,Regional Spread
EVT-00139,2025-01-09,Suez Canal,Cyber-Attack on Port Systems,Moderate,Bulk Carrier,China,2.6,65.0,29.9019,31.6734,False,Regional Spread
EVT-00140,2025-01-09,Strait of Hormuz,Naval Mine Detonation,Severe,VLCC,Liberia,25.2,51.0,25.6027,55.7211,True,Regional Spread
EVT-00141,2025-01-10,Bab el-Mandeb / Red Sea,Unexploded Ordnance Discovery,Minor,LPG Carrier,Panama,0.1,69.0,12.4535,42.6716,False,Regional Spread
EVT-00142,2025-01-11,Cape of Good Hope (reroute),Maritime Corridor Suspension,Minor,Suezmax,Malta,18.1,58.0,-35.1201,18.3194,False,Regional Spread
EVT-00143,2025-01-11,Bab el-Mandeb / Red Sea,IRGC Fast-Boat Harassment,Moderate,Bulk Carrier,Singapore,7.7,239.0,12.2261,42.8222,False,Regional Spread
EVT-00144,2025-01-12,Bab el-Mandeb / Red Sea,Piracy / Armed Boarding,Severe,VLCC,Greece,16.6,225.0,13.2425,43.9037,True,Regional Spread
EVT-00145,2025-01-12,Strait of Hormuz,Military Blockade Enforcement,Minor,Suezmax,China,4.4,26.0,26.7755,55.57,False,Regional Spread
EVT-00146,2025-01-12,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Moderate,LNG Carrier,Bahamas,22.2,16.0,13.1203,43.4897,False,Regional Spread
EVT-00147,2025-01-12,Bab el-Mandeb / Red Sea,Houthi Anti-Ship Missile,Severe,LNG Carrier,Japan,38.5,579.0,13.3138,43.8457,True,Regional Spread
EVT-00148,2025-01-13,Bab el-Mandeb / Red Sea,Unexploded Ordnance Discovery,Severe,VLCC,Malta,69.5,648.0,13.6984,42.8204,True,Regional Spread
EVT-00149,2025-01-13,Suez Canal,Port Closure (Military),Moderate,Suezmax,China,9.3,27.0,29.6542,32.4033,False,Regional Spread
EVT-00150,2025-01-15,Strait of Hormuz,Naval Mine Detonation,Minor,Bulk Carrier,Bahamas,0.3,46.0,26.4291,56.5614,False,Regional Spread
EVT-00151,2025-01-15,Persian Gulf – East China Sea,Piracy / Armed Boarding,Severe,Product Tanker,Panama,9.7,1346.0,26.6605,43.4899,True,Regional Spread
EVT-00152,2025-01-15,Strait of Hormuz,Coalition Naval Escort Delay,Minor,Aframax,Japan,4.3,14.0,26.3594,55.837,False,Regional Spread
EVT-00153,2025-01-15,Bab el-Mandeb / Red Sea,GPS Spoofing / Jamming Incident,Minor,VLCC,Singapore,22.8,14.0,12.8365,43.3572,False,Regional Spread
EVT-00154,2025-01-16,Suez Canal,Drone Strike Near Vessel,Severe,Bulk Carrier,Japan,17.1,5024.0,30.6986,33.2399,True,Regional Spread
EVT-00155,2025-01-17,Suez Canal,GPS Spoofing / Jamming Incident,Moderate,Bulk Carrier,Japan,0.5,44.0,30.1796,32.1928,False,Regional Spread
EVT-00156,2025-01-18,Strait of Hormuz,Unexploded Ordnance Discovery,Critical,LNG Carrier,Greece,108.4,2.0,26.945,56.7661,True,Regional Spread
EVT-00157,2025-01-20,Strait of Hormuz,Cyber-Attack on Port Systems,Minor,Suezmax,Hong Kong,2.7,35.0,27.2612,57.1964,False,Regional Spread
EVT-00158,2025-01-20,Bab el-Mandeb / Red Sea,Insurance No-Go Zone Declaration,Moderate,LPG Carrier,Liberia,35.7,2.0,12.1729,42.3239,False,Regional Spread
EVT-00159,2025-01-20,Cape of Good Hope (reroute),Cyber-Attack on Port Systems,Minor,LNG Carrier,Greece,4.8,14.0,-33.9291,17.6004,False,Regional Spread
EVT-00160,2025-01-21,Bab el-Mandeb / Red Sea,Piracy / Armed Boarding,Minor,Bulk Carrier,Liberia,10.3,4.0,12.2815,43.8985,False,Regional Spread
EVT-00161,2025-01-21,Strait of Hormuz,Drone Strike Near Vessel,Moderate,Bulk Carrier,China,46.7,349.0,26.5081,55.3969,True,Regional Spread
EVT-00162,2025-01-21,Strait of Hormuz,Port Closure (Military),Moderate,Container Ship,Bahamas,5.0,493.0,26.6855,55.6769,False,Regional Spread
EVT-00163,2025-01-22,Suez Canal,Drone Strike Near Vessel,Minor,VLCC,Malta,4.6,22.0,31.4403,31.9792,True,Regional Spread
EVT-00164,2025-01-23,Cape of Good Hope (reroute),Maritime Corridor Suspension,Critical,LNG Carrier,Greece,3.8,151.0,-34.0068,17.7156,True,Regional Spread
