Response_ID,Date,Country,Response_Category,Implementing_Institution,Estimated_Cost_MUSD,Urgency_Level,Implementation_Status,Effectiveness_Score,ME_Dependency_Reduction_Pct,Conflict_Phase
RSP-00045,2024-11-01,Malaysia,Refinery Capacity Expansion,Ministry of Trade,0.1,High,Announced,6.3,0.0,Initial Escalation
RSP-00046,2024-11-01,Pakistan,Freight Corridor Agreement,Central Bank,0.1,High,Delayed,5.2,0.0,Initial Escalation
RSP-00047,2024-11-01,Pakistan,Emergency Energy Import Deal,Ministry of Defense,0.1,Medium,Announced,7.5,0.0,Initial Escalation
RSP-00048,2024-11-01,Pakistan,Port Security Enhancement,Ministry of Trade,0.1,High,Completed,4.4,0.0,Initial Escalation
RSP-00049,2024-11-01,Bangladesh,Freight Corridor Agreement,Ministry of Trade,0.1,High,In Progress,8.3,0.0,Initial Escalation
RSP-00050,2024-11-01,Taiwan,Port Security Enhancement,Central Bank,0.6,Medium,In Progress,7.4,0.0,Initial Escalation
RSP-00051,2024-11-01,Singapore,Cyber Defense for Energy Grid,Ministry of Defense,0.2,Medium,Announced,6.6,0.0,Initial Escalation
RSP-00052,2024-11-01,Singapore,Port Security Enhancement,Ministry of Defense,0.3,Medium,Delayed,5.1,0.0,Initial Escalation
RSP-00053,2024-11-01,Singapore,Fuel Subsidy Increase,Emergency Management Agency,0.1,Medium,Delayed,6.1,0.0,Initial Escalation
RSP-00054,2024-11-01,New Zealand,Emergency Energy Import Deal,Ministry of Energy,0.1,Medium,Announced,10.0,0.0,Initial Escalation
RSP-00055,2024-11-01,New Zealand,Cyber Defense for Energy Grid,Central Bank,0.1,Low,Completed,4.8,0.0,Initial Escalation
RSP-00056,2024-11-01,Sri Lanka,Port Security Enhancement,Ministry of Defense,0.1,Medium,In Progress,5.4,0.0,Initial Escalation
RSP-00057,2024-11-01,Sri Lanka,Fuel Subsidy Increase,Central Bank,0.1,Low,Announced,2.7,0.0,Initial Escalation
RSP-00058,2024-11-01,Sri Lanka,LNG Terminal Fast-Track,Ministry of Energy,0.1,Low,Announced,6.5,0.0,Initial Escalation
RSP-00059,2024-11-01,Myanmar,Bilateral Defense Pact,Ministry of Trade,0.1,Medium,Announced,4.3,0.0,Initial Escalation
RSP-00060,2024-11-01,Myanmar,Coal-to-Gas Switching Ban,Central Bank,0.1,Low,Announced,4.7,0.0,Initial Escalation
RSP-00061,2024-11-01,Cambodia,Freight Corridor Agreement,Emergency Management Agency,0.1,Low,Delayed,7.6,0.0,Initial Escalation
RSP-00062,2024-11-01,Cambodia,Port Security Enhancement,Ministry of Trade,0.1,Medium,Announced,3.0,0.0,Initial Escalation
RSP-00063,2024-11-01,Laos,Fuel Subsidy Increase,Central Bank,0.1,Low,In Progress,8.9,0.0,Initial Escalation
RSP-00064,2024-11-01,Mongolia,Fuel Subsidy Increase,Central Bank,0.1,Low,In Progress,5.1,0.0,Initial Escalation
RSP-00065,2024-12-01,China,Alternative Supplier Agreement,Emergency Management Agency,7.4,High,Delayed,4.2,0.0,Initial Escalation
RSP-00066,2024-12-01,India,SPR Release,National Oil Company,0.9,Medium,Delayed,8.3,0.0,Initial Escalation
RSP-00067,2024-12-01,Japan,Fuel Subsidy Increase,Emergency Management Agency,2.6,High,Announced,5.1,0.0,Initial Escalation
RSP-00068,2024-12-01,Japan,Cyber Defense for Energy Grid,Ministry of Finance,2.5,Medium,Delayed,5.6,0.0,Initial Escalation
RSP-00069,2024-12-01,Japan,Emergency Energy Import Deal,Ministry of Energy,3.8,Medium,Completed,8.8,0.0,Initial Escalation
RSP-00070,2024-12-01,Japan,Freight Corridor Agreement,National Oil Company,2.4,High,Completed,5.2,0.0,Initial Escalation
RSP-00071,2024-12-01,Japan,Coal-to-Gas Switching Ban,Ministry of Energy,2.6,Critical,Announced,5.9,0.0,Initial Escalation
RSP-00072,2024-12-01,South Korea,Refinery Capacity Expansion,Ministry of Trade,0.3,Critical,Completed,7.1,0.0,Initial Escalation
RSP-00073,2024-12-01,South Korea,LNG Terminal Fast-Track,Ministry of Trade,1.2,Medium,In Progress,5.4,0.0,Initial Escalation
RSP-00074,2024-12-01,South Korea,Maritime Insurance Fund,Ministry of Trade,0.8,High,Announced,4.5,0.0,Initial Escalation
RSP-00075,2024-12-01,South Korea,LNG Terminal Fast-Track,Ministry of Finance,1.1,Low,In Progress,5.7,0.0,Initial Escalation
RSP-00076,2024-12-01,South Korea,LNG Terminal Fast-Track,National Oil Company,0.7,Low,Announced,6.1,0.0,Initial Escalation
RSP-00077,2024-12-01,Australia,Maritime Insurance Fund,National Oil Company,0.1,Low,In Progress,6.9,0.0,Initial Escalation
RSP-00078,2024-12-01,Indonesia,Fuel Subsidy Increase,Emergency Management Agency,0.2,High,In Progress,3.7,0.0,Initial Escalation
RSP-00079,2024-12-01,Thailand,Maritime Insurance Fund,Maritime Authority,0.2,Medium,Delayed,5.9,0.0,Initial Escalation
RSP-00080,2024-12-01,Thailand,Bilateral Defense Pact,Ministry of Trade,0.1,Low,In Progress,8.3,0.0,Initial Escalation
RSP-00081,2024-12-01,Vietnam,Strategic Fuel Stockpile Mandate,Maritime Authority,0.1,High,Delayed,5.6,0.0,Initial Escalation
RSP-00082,2024-12-01,Philippines,Coal-to-Gas Switching Ban,National Oil Company,0.1,Low,In Progress,5.9,0.0,Initial Escalation
RSP-00083,2024-12-01,Malaysia,Renewable Energy Fast-Track,Maritime Authority,0.1,Medium,In Progress,7.7,0.0,Initial Escalation
RSP-00084,2024-12-01,Pakistan,Coal-to-Gas Switching Ban,National Oil Company,0.2,Medium,In Progress,7.3,0.0,Initial Escalation
RSP-00085,2024-12-01,Bangladesh,Freight Corridor Agreement,Central Bank,0.1,High,Completed,3.8,0.0,Initial Escalation
RSP-00086,2024-12-01,Bangladesh,Port Security Enhancement,Maritime Authority,0.1,Critical,Completed,4.4,0.0,Initial Escalation
RSP-00087,2024-12-01,Taiwan,Maritime Insurance Fund,Emergency Management Agency,0.4,High,Completed,6.7,0.0,Initial Escalation
RSP-00088,2024-12-01,Taiwan,Emergency Energy Import Deal,Central Bank,0.4,Medium,Completed,4.1,0.0,Initial Escalation
RSP-00089,2024-12-01,Singapore,Coal-to-Gas Switching Ban,Maritime Authority,0.3,Low,Announced,5.3,0.0,Initial Escalation
RSP-00090,2024-12-01,Singapore,Maritime Insurance Fund,Emergency Management Agency,0.3,Medium,In Progress,5.6,0.0,Initial Escalation
RSP-00091,2024-12-01,Singapore,Emergency Energy Import Deal,Central Bank,0.3,High,Delayed,6.0,0.0,Initial Escalation
RSP-00092,2024-12-01,Singapore,Bilateral Defense Pact,Central Bank,0.4,Medium,Completed,5.6,0.0,Initial Escalation
RSP-00093,2024-12-01,New Zealand,Coal-to-Gas Switching Ban,Central Bank,0.1,Low,Delayed,5.9,0.0,Initial Escalation
RSP-00094,2024-12-01,Sri Lanka,Maritime Insurance Fund,Maritime Authority,0.1,Low,Completed,6.9,0.0,Initial Escalation
RSP-00095,2024-12-01,Sri Lanka,Alternative Supplier Agreement,Central Bank,0.1,Medium,In Progress,6.2,0.0,Initial Escalation
RSP-00096,2024-12-01,Sri Lanka,Fuel Subsidy Increase,Ministry of Finance,0.1,High,Delayed,6.6,0.0,Initial Escalation
RSP-00097,2024-12-01,Sri Lanka,Strategic Fuel Stockpile Mandate,Ministry of Energy,0.1,Low,Delayed,4.4,0.0,Initial Escalation
RSP-00098,2024-12-01,Sri Lanka,Emergency Energy Import Deal,Ministry of Trade,0.1,Medium,Announced,5.6,0.0,Initial Escalation
RSP-00099,2024-12-01,Myanmar,Maritime Insurance Fund,National Oil Company,0.1,Medium,In Progress,7.3,0.0,Initial Escalation
RSP-00100,2024-12-01,Myanmar,Bilateral Defense Pact,Maritime Authority,0.1,High,Announced,4.1,0.0,Initial Escalation
RSP-00101,2024-12-01,Cambodia,Refinery Capacity Expansion,Ministry of Energy,0.1,Medium,In Progress,7.4,0.0,Initial Escalation
RSP-00102,2024-12-01,Laos,Alternative Supplier Agreement,Ministry of Trade,0.1,Low,In Progress,7.5,0.0,Initial Escalation
RSP-00103,2024-12-01,Mongolia,Emergency Energy Import Deal,Ministry of Defense,0.1,Critical,Completed,5.1,0.0,Initial Escalation
RSP-00104,2025-01-01,China,Freight Corridor Agreement,Emergency Management Agency,11.0,Medium,Completed,2.3,0.93,Regional Spread
RSP-00105,2025-01-01,India,Coal-to-Gas Switching Ban,Ministry of Trade,2.2,High,Completed,8.0,1.22,Regional Spread
RSP-00106,2025-01-01,India,Naval Escort Deployment,Ministry of Trade,2.3,Low,Announced,3.4,1.38,Regional Spread
RSP-00107,2025-01-01,India,Maritime Insurance Fund,Central Bank,2.1,Medium,In Progress,5.3,1.5,Regional Spread
RSP-00108,2025-01-01,Japan,Port Security Enhancement,Ministry of Energy,5.0,Medium,Announced,7.0,1.85,Regional Spread
RSP-00109,2025-01-01,Japan,LNG Terminal Fast-Track,Ministry of Defense,3.9,Medium,In Progress,4.8,1.68,Regional Spread
RSP-00110,2025-01-01,Japan,Cyber Defense for Energy Grid,Ministry of Energy,2.0,Low,Announced,5.8,1.75,Regional Spread
RSP-00111,2025-01-01,Japan,Bilateral Defense Pact,Ministry of Defense,2.1,Medium,Completed,4.4,1.61,Regional Spread
RSP-00112,2025-01-01,South Korea,Refinery Capacity Expansion,National Oil Company,0.7,High,Completed,7.9,1.46,Regional Spread
RSP-00113,2025-01-01,Australia,Maritime Insurance Fund,Central Bank,0.3,Medium,Completed,7.2,0.33,Regional Spread
RSP-00114,2025-01-01,Indonesia,Emergency Energy Import Deal,Emergency Management Agency,0.2,Medium,Delayed,8.0,0.44,Regional Spread
RSP-00115,2025-01-01,Indonesia,Alternative Supplier Agreement,National Oil Company,0.4,Medium,Announced,6.8,0.4,Regional Spread
RSP-00116,2025-01-01,Indonesia,Fuel Subsidy Increase,Ministry of Energy,0.3,Low,Announced,7.3,0.29,Regional Spread
RSP-00117,2025-01-01,Thailand,Coal-to-Gas Switching Ban,National Oil Company,0.3,Medium,Announced,6.3,1.11,Regional Spread
RSP-00118,2025-01-01,Thailand,Naval Escort Deployment,Maritime Authority,0.1,Medium,In Progress,6.4,0.9,Regional Spread
RSP-00119,2025-01-01,Thailand,Fuel Subsidy Increase,Ministry of Finance,0.3,High,Announced,8.1,0.97,Regional Spread
RSP-00120,2025-01-01,Vietnam,Freight Corridor Agreement,Ministry of Defense,0.1,High,In Progress,7.1,0.35,Regional Spread
RSP-00121,2025-01-01,Philippines,Port Security Enhancement,Ministry of Defense,0.3,Medium,Completed,6.9,1.49,Regional Spread
RSP-00122,2025-01-01,Malaysia,Alternative Supplier Agreement,Ministry of Trade,0.1,High,Completed,3.4,0.26,Regional Spread
RSP-00123,2025-01-01,Pakistan,Freight Corridor Agreement,Ministry of Trade,0.3,Low,In Progress,5.1,1.22,Regional Spread
RSP-00124,2025-01-01,Pakistan,Cyber Defense for Energy Grid,Ministry of Defense,0.1,Low,Completed,8.3,1.25,Regional Spread
RSP-00125,2025-01-01,Pakistan,Port Security Enhancement,Emergency Management Agency,0.3,Low,In Progress,5.1,1.37,Regional Spread
RSP-00126,2025-01-01,Pakistan,Freight Corridor Agreement,Ministry of Trade,0.3,Low,Announced,4.2,1.14,Regional Spread
RSP-00127,2025-01-01,Pakistan,Refinery Capacity Expansion,Ministry of Trade,0.3,Low,In Progress,5.0,1.25,Regional Spread
RSP-00128,2025-01-01,Pakistan,Bilateral Defense Pact,Central Bank,0.2,Low,Completed,5.9,1.56,Regional Spread
RSP-00129,2025-01-01,Pakistan,Bilateral Defense Pact,Ministry of Energy,0.4,Medium,In Progress,7.9,1.84,Regional Spread
RSP-00130,2025-01-01,Bangladesh,Strategic Fuel Stockpile Mandate,Central Bank,0.1,High,Completed,6.2,0.86,Regional Spread
RSP-00131,2025-01-01,Bangladesh,Naval Escort Deployment,Emergency Management Agency,0.2,High,Announced,6.2,0.73,Regional Spread
RSP-00132,2025-01-01,Bangladesh,Alternative Supplier Agreement,Emergency Management Agency,0.1,Critical,Delayed,6.8,0.92,Regional Spread
RSP-00133,2025-01-01,Taiwan,Strategic Fuel Stockpile Mandate,Ministry of Energy,0.6,High,Announced,6.2,1.74,Regional Spread
RSP-00134,2025-01-01,Taiwan,Refinery Capacity Expansion,National Oil Company,0.2,Medium,Delayed,7.0,1.68,Regional Spread
RSP-00135,2025-01-01,Taiwan,Port Security Enhancement,Ministry of Energy,0.8,Critical,Completed,7.2,1.25,Regional Spread
RSP-00136,2025-01-01,Singapore,Emergency Energy Import Deal,Maritime Authority,0.6,Medium,Announced,6.1,1.53,Regional Spread
RSP-00137,2025-01-01,New Zealand,Cyber Defense for Energy Grid,National Oil Company,0.1,Medium,Announced,5.9,0.46,Regional Spread
RSP-00138,2025-01-01,Sri Lanka,Maritime Insurance Fund,Ministry of Finance,0.1,Medium,Announced,7.4,1.59,Regional Spread
RSP-00139,2025-01-01,Sri Lanka,Port Security Enhancement,Central Bank,0.1,High,Delayed,10.0,1.61,Regional Spread
RSP-00140,2025-01-01,Sri Lanka,Alternative Supplier Agreement,National Oil Company,0.1,Medium,In Progress,7.6,1.91,Regional Spread
RSP-00141,2025-01-01,Sri Lanka,Emergency Energy Import Deal,Ministry of Trade,0.1,Low,Completed,3.2,2.2,Regional Spread
RSP-00142,2025-01-01,Myanmar,Emergency Energy Import Deal,Maritime Authority,0.1,Low,Completed,4.7,0.77,Regional Spread
RSP-00143,2025-01-01,Cambodia,Alternative Supplier Agreement,Central Bank,0.1,Critical,Completed,4.9,0.79,Regional Spread
RSP-00144,2025-01-01,Cambodia,Refinery Capacity Expansion,Emergency Management Agency,0.1,Medium,Delayed,4.3,0.61,Regional Spread
RSP-00145,2025-01-01,Laos,Bilateral Defense Pact,Ministry of Trade,0.1,Low,Announced,6.3,0.17,Regional Spread
RSP-00146,2025-01-01,Mongolia,Bilateral Defense Pact,Ministry of Finance,0.1,High,Announced,7.2,0.09,Regional Spread
RSP-00147,2025-02-01,China,Refinery Capacity Expansion,Ministry of Energy,6.5,High,Completed,5.7,0.85,Regional Spread
RSP-00148,2025-02-01,China,Alternative Supplier Agreement,Ministry of Defense,5.1,High,Completed,6.1,1.03,Regional Spread
RSP-00149,2025-02-01,India,Naval Escort Deployment,Ministry of Finance,2.4,High,In Progress,5.5,1.05,Regional Spread
RSP-00150,2025-02-01,India,Bilateral Defense Pact,Ministry of Energy,1.8,Medium,Delayed,8.0,1.52,Regional Spread
RSP-00151,2025-02-01,India,Alternative Supplier Agreement,Ministry of Trade,1.3,Low,Announced,6.3,1.34,Regional Spread
RSP-00152,2025-02-01,Japan,Coal-to-Gas Switching Ban,National Oil Company,3.9,Medium,Announced,6.5,1.4,Regional Spread
RSP-00153,2025-02-01,Japan,Strategic Fuel Stockpile Mandate,Ministry of Finance,3.7,High,In Progress,6.8,2.11,Regional Spread
RSP-00154,2025-02-01,Japan,Strategic Fuel Stockpile Mandate,Ministry of Trade,1.6,Low,Announced,7.4,1.37,Regional Spread
RSP-00155,2025-02-01,South Korea,Renewable Energy Fast-Track,Emergency Management Agency,0.6,Medium,In Progress,3.7,1.43,Regional Spread
RSP-00156,2025-02-01,South Korea,Naval Escort Deployment,Emergency Management Agency,1.1,High,Announced,3.0,1.72,Regional Spread
RSP-00157,2025-02-01,South Korea,Coal-to-Gas Switching Ban,National Oil Company,0.8,High,Delayed,5.7,1.31,Regional Spread
RSP-00158,2025-02-01,South Korea,Coal-to-Gas Switching Ban,Maritime Authority,1.3,Low,In Progress,8.2,1.32,Regional Spread
RSP-00159,2025-02-01,Australia,Fuel Subsidy Increase,Emergency Management Agency,0.2,Low,Delayed,5.2,0.25,Regional Spread
RSP-00160,2025-02-01,Indonesia,Renewable Energy Fast-Track,Ministry of Trade,0.2,Medium,Delayed,5.4,0.45,Regional Spread
RSP-00161,2025-02-01,Thailand,Coal-to-Gas Switching Ban,Ministry of Finance,0.3,High,Announced,6.0,0.92,Regional Spread
RSP-00162,2025-02-01,Thailand,Port Security Enhancement,Central Bank,0.1,Medium,In Progress,6.9,1.1,Regional Spread
RSP-00163,2025-02-01,Thailand,Fuel Subsidy Increase,Ministry of Defense,0.2,Medium,Completed,5.7,1.37,Regional Spread
RSP-00164,2025-02-01,Vietnam,Cyber Defense for Energy Grid,National Oil Company,0.1,High,Completed,6.2,0.53,Regional Spread
RSP-00165,2025-02-01,Philippines,Fuel Subsidy Increase,Ministry of Energy,0.2,Medium,Announced,6.3,1.36,Regional Spread
RSP-00166,2025-02-01,Philippines,Renewable Energy Fast-Track,Emergency Management Agency,0.2,Medium,In Progress,6.9,1.41,Regional Spread
RSP-00167,2025-02-01,Philippines,Bilateral Defense Pact,Central Bank,0.1,Low,Announced,6.9,1.16,Regional Spread
RSP-00168,2025-02-01,Malaysia,Cyber Defense for Energy Grid,Ministry of Finance,0.1,High,Announced,5.0,0.23,Regional Spread
RSP-00169,2025-02-01,Pakistan,SPR Release,Ministry of Energy,0.2,Medium,In Progress,8.9,1.47,Regional Spread
RSP-00170,2025-02-01,Pakistan,SPR Release,Maritime Authority,0.3,Medium,Announced,5.4,1.69,Regional Spread
RSP-00171,2025-02-01,Bangladesh,Emergency Energy Import Deal,Emergency Management Agency,0.1,Medium,Announced,3.1,0.88,Regional Spread
RSP-00172,2025-02-01,Bangladesh,Bilateral Defense Pact,Emergency Management Agency,0.1,Medium,Delayed,7.3,0.96,Regional Spread
RSP-00173,2025-02-01,Bangladesh,Emergency Energy Import Deal,National Oil Company,0.2,High,Delayed,6.7,0.66,Regional Spread
RSP-00174,2025-02-01,Bangladesh,Freight Corridor Agreement,Ministry of Energy,0.2,High,In Progress,5.0,1.05,Regional Spread
RSP-00175,2025-02-01,Taiwan,Emergency Energy Import Deal,Ministry of Energy,0.9,Low,In Progress,8.3,1.31,Regional Spread
RSP-00176,2025-02-01,Taiwan,Strategic Fuel Stockpile Mandate,Central Bank,0.5,Critical,In Progress,6.4,1.24,Regional Spread
RSP-00177,2025-02-01,Taiwan,Emergency Energy Import Deal,Ministry of Defense,0.6,Low,Announced,5.7,1.44,Regional Spread
RSP-00178,2025-02-01,Taiwan,Port Security Enhancement,Central Bank,0.7,Critical,Completed,6.2,1.68,Regional Spread
RSP-00179,2025-02-01,Singapore,Bilateral Defense Pact,National Oil Company,0.2,Low,Announced,7.3,1.89,Regional Spread
RSP-00180,2025-02-01,Singapore,Emergency Energy Import Deal,Maritime Authority,0.6,High,Completed,5.8,1.9,Regional Spread
RSP-00181,2025-02-01,Singapore,Freight Corridor Agreement,Ministry of Finance,0.5,Low,Announced,5.5,1.34,Regional Spread
RSP-00182,2025-02-01,Singapore,Coal-to-Gas Switching Ban,National Oil Company,0.5,Medium,Delayed,5.3,1.58,Regional Spread
RSP-00183,2025-02-01,Singapore,Freight Corridor Agreement,Ministry of Finance,0.1,Medium,Completed,6.0,1.68,Regional Spread
RSP-00184,2025-02-01,New Zealand,Freight Corridor Agreement,Emergency Management Agency,0.1,Medium,In Progress,7.3,0.57,Regional Spread
RSP-00185,2025-02-01,Sri Lanka,Emergency Energy Import Deal,Maritime Authority,0.1,Low,Delayed,5.0,1.98,Regional Spread
RSP-00186,2025-02-01,Sri Lanka,Port Security Enhancement,Maritime Authority,0.1,Low,In Progress,7.1,1.98,Regional Spread
RSP-00187,2025-02-01,Sri Lanka,Emergency Energy Import Deal,Emergency Management Agency,0.1,Medium,Completed,4.9,1.41,Regional Spread
RSP-00188,2025-02-01,Sri Lanka,Naval Escort Deployment,Ministry of Energy,0.1,High,Delayed,4.4,1.76,Regional Spread
RSP-00189,2025-02-01,Sri Lanka,Naval Escort Deployment,Ministry of Energy,0.1,Low,Delayed,9.3,2.06,Regional Spread
RSP-00190,2025-02-01,Sri Lanka,Alternative Supplier Agreement,National Oil Company,0.1,Low,In Progress,7.3,1.55,Regional Spread
RSP-00191,2025-02-01,Sri Lanka,Alternative Supplier Agreement,Maritime Authority,0.1,Low,Announced,6.5,1.91,Regional Spread
RSP-00192,2025-02-01,Myanmar,Bilateral Defense Pact,Ministry of Energy,0.1,Critical,Completed,6.7,0.53,Regional Spread
RSP-00193,2025-02-01,Myanmar,Emergency Energy Import Deal,Central Bank,0.1,Medium,Announced,6.1,0.54,Regional Spread
RSP-00194,2025-02-01,Cambodia,Maritime Insurance Fund,Maritime Authority,0.1,Medium,Delayed,7.6,0.71,Regional Spread
RSP-00195,2025-02-01,Cambodia,Port Security Enhancement,Ministry of Energy,0.1,High,Completed,8.5,0.99,Regional Spread
RSP-00196,2025-02-01,Laos,Freight Corridor Agreement,National Oil Company,0.1,Critical,Announced,5.2,0.25,Regional Spread
RSP-00197,2025-02-01,Mongolia,LNG Terminal Fast-Track,Ministry of Finance,0.1,High,Announced,5.5,0.09,Regional Spread
RSP-00198,2025-03-01,China,Bilateral Defense Pact,Maritime Authority,7.0,Medium,Delayed,7.1,0.89,Regional Spread
RSP-00199,2025-03-01,India,Emergency Energy Import Deal,Ministry of Energy,2.5,Low,In Progress,7.4,1.14,Regional Spread
RSP-00200,2025-03-01,India,Alternative Supplier Agreement,Ministry of Defense,2.3,Low,Completed,6.4,1.2,Regional Spread
RSP-00201,2025-03-01,Japan,Bilateral Defense Pact,Central Bank,3.6,Medium,Completed,6.1,2.04,Regional Spread
RSP-00202,2025-03-01,Japan,Naval Escort Deployment,National Oil Company,2.7,Critical,In Progress,7.7,2.11,Regional Spread
RSP-00203,2025-03-01,Japan,Maritime Insurance Fund,Central Bank,4.7,Medium,Delayed,5.5,1.55,Regional Spread
