response_key,response_category,institution
RSP-00296,Emergency Energy Import Deal,National Oil Company
RSP-00297,Strategic Fuel Stockpile Mandate,Maritime Authority
RSP-00298,Renewable Energy Fast-Track,National Oil Company
RSP-00299,Naval Escort Deployment,Ministry of Defense
RSP-00300,Emergency Energy Import Deal,Ministry of Energy
RSP-00301,Emergency Energy Import Deal,Maritime Authority
RSP-00302,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00303,Freight Corridor Agreement,Ministry of Finance
RSP-00304,Freight Corridor Agreement,Ministry of Finance
RSP-00305,Emergency Energy Import Deal,Ministry of Trade
RSP-00306,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00307,Coal-to-Gas Switching Ban,Central Bank
RSP-00308,Emergency Energy Import Deal,Emergency Management Agency
RSP-00309,Naval Escort Deployment,Ministry of Trade
RSP-00310,Freight Corridor Agreement,Central Bank
RSP-00311,SPR Release,Ministry of Finance
RSP-00312,Cyber Defense for Energy Grid,National Oil Company
RSP-00313,Bilateral Defense Pact,Ministry of Finance
RSP-00314,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00315,Freight Corridor Agreement,National Oil Company
RSP-00316,Maritime Insurance Fund,Ministry of Defense
RSP-00317,Cyber Defense for Energy Grid,Ministry of Finance
RSP-00318,Port Security Enhancement,National Oil Company
RSP-00319,Naval Escort Deployment,Ministry of Energy
RSP-00320,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00321,SPR Release,Emergency Management Agency
RSP-00322,Freight Corridor Agreement,Ministry of Energy
RSP-00323,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00324,Bilateral Defense Pact,Maritime Authority
RSP-00325,Freight Corridor Agreement,National Oil Company
RSP-00326,Renewable Energy Fast-Track,Central Bank
RSP-00327,Port Security Enhancement,Ministry of Finance
RSP-00328,Refinery Capacity Expansion,Ministry of Energy
RSP-00329,Emergency Energy Import Deal,Ministry of Finance
RSP-00330,Maritime Insurance Fund,Ministry of Energy
RSP-00331,Port Security Enhancement,Central Bank
RSP-00332,Alternative Supplier Agreement,Ministry of Trade
RSP-00333,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00334,Alternative Supplier Agreement,Ministry of Trade
RSP-00335,Coal-to-Gas Switching Ban,Central Bank
RSP-00336,Bilateral Defense Pact,Central Bank
RSP-00337,Renewable Energy Fast-Track,National Oil Company
RSP-00338,Freight Corridor Agreement,Ministry of Trade
RSP-00339,Port Security Enhancement,Central Bank
RSP-00340,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00341,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00342,Alternative Supplier Agreement,Ministry of Energy
RSP-00343,Emergency Energy Import Deal,Ministry of Defense
RSP-00344,LNG Terminal Fast-Track,Emergency Management Agency
RSP-00345,Refinery Capacity Expansion,Ministry of Finance
RSP-00346,Fuel Subsidy Increase,Ministry of Finance
RSP-00347,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00348,Alternative Supplier Agreement,Central Bank
RSP-00349,Strategic Fuel Stockpile Mandate,Ministry of Trade
RSP-00350,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00351,Refinery Capacity Expansion,Ministry of Energy
RSP-00352,Freight Corridor Agreement,Ministry of Energy
RSP-00353,Port Security Enhancement,Ministry of Finance
RSP-00354,Naval Escort Deployment,Ministry of Trade
RSP-00355,LNG Terminal Fast-Track,Ministry of Energy
RSP-00356,Refinery Capacity Expansion,Ministry of Trade
RSP-00357,Coal-to-Gas Switching Ban,Ministry of Energy
RSP-00358,Strategic Fuel Stockpile Mandate,Emergency Management Agency
RSP-00359,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00360,Refinery Capacity Expansion,Central Bank
RSP-00361,Refinery Capacity Expansion,Central Bank
RSP-00362,LNG Terminal Fast-Track,Ministry of Energy
RSP-00363,Renewable Energy Fast-Track,Ministry of Finance
RSP-00364,Refinery Capacity Expansion,Ministry of Defense
RSP-00365,SPR Release,Maritime Authority
RSP-00366,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00367,Naval Escort Deployment,Emergency Management Agency
RSP-00368,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00369,Port Security Enhancement,National Oil Company
RSP-00370,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00371,Renewable Energy Fast-Track,Emergency Management Agency
RSP-00372,Fuel Subsidy Increase,Maritime Authority
RSP-00373,Naval Escort Deployment,Emergency Management Agency
RSP-00374,Refinery Capacity Expansion,Ministry of Trade
RSP-00375,Maritime Insurance Fund,Ministry of Finance
RSP-00376,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00377,Maritime Insurance Fund,Ministry of Energy
RSP-00378,SPR Release,Ministry of Trade
RSP-00379,Bilateral Defense Pact,Maritime Authority
RSP-00380,Port Security Enhancement,Ministry of Trade
RSP-00381,LNG Terminal Fast-Track,Ministry of Trade
RSP-00382,Refinery Capacity Expansion,Ministry of Finance
RSP-00383,Refinery Capacity Expansion,Ministry of Trade
RSP-00384,Alternative Supplier Agreement,Ministry of Finance
RSP-00385,LNG Terminal Fast-Track,National Oil Company
RSP-00386,Maritime Insurance Fund,Central Bank
RSP-00387,LNG Terminal Fast-Track,Ministry of Finance
RSP-00388,LNG Terminal Fast-Track,Ministry of Trade
RSP-00389,Naval Escort Deployment,Ministry of Finance
RSP-00390,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00391,Fuel Subsidy Increase,Emergency Management Agency
RSP-00392,Freight Corridor Agreement,Ministry of Energy
RSP-00393,Emergency Energy Import Deal,Ministry of Trade
RSP-00394,Naval Escort Deployment,Emergency Management Agency
RSP-00395,Port Security Enhancement,Emergency Management Agency
RSP-00396,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00397,Maritime Insurance Fund,Ministry of Defense
RSP-00398,Alternative Supplier Agreement,Ministry of Defense
RSP-00399,Freight Corridor Agreement,Ministry of Energy
RSP-00400,Alternative Supplier Agreement,Ministry of Trade
RSP-00401,LNG Terminal Fast-Track,Ministry of Trade
RSP-00402,Maritime Insurance Fund,Ministry of Defense
RSP-00403,Alternative Supplier Agreement,National Oil Company
RSP-00404,Emergency Energy Import Deal,National Oil Company
RSP-00405,Naval Escort Deployment,Ministry of Finance
RSP-00406,Port Security Enhancement,Maritime Authority
RSP-00407,Freight Corridor Agreement,Maritime Authority
RSP-00408,Fuel Subsidy Increase,Ministry of Defense
RSP-00409,Strategic Fuel Stockpile Mandate,National Oil Company
RSP-00410,Emergency Energy Import Deal,National Oil Company
RSP-00411,Refinery Capacity Expansion,Central Bank
RSP-00412,SPR Release,Ministry of Trade
RSP-00413,Port Security Enhancement,Emergency Management Agency
RSP-00414,Renewable Energy Fast-Track,Ministry of Finance
RSP-00415,Renewable Energy Fast-Track,Ministry of Defense
RSP-00416,Alternative Supplier Agreement,Central Bank
RSP-00417,Fuel Subsidy Increase,Maritime Authority
RSP-00418,Alternative Supplier Agreement,Ministry of Finance
RSP-00419,Coal-to-Gas Switching Ban,National Oil Company
RSP-00420,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00421,Coal-to-Gas Switching Ban,National Oil Company
RSP-00422,Emergency Energy Import Deal,Ministry of Trade
RSP-00423,Naval Escort Deployment,Emergency Management Agency
RSP-00424,Port Security Enhancement,Emergency Management Agency
RSP-00425,Renewable Energy Fast-Track,Ministry of Trade
RSP-00426,Naval Escort Deployment,Ministry of Finance
RSP-00427,Alternative Supplier Agreement,Ministry of Trade
RSP-00428,Naval Escort Deployment,Ministry of Trade
RSP-00429,LNG Terminal Fast-Track,Ministry of Energy
RSP-00430,Coal-to-Gas Switching Ban,National Oil Company
RSP-00431,LNG Terminal Fast-Track,National Oil Company
RSP-00432,Freight Corridor Agreement,Maritime Authority
RSP-00433,Emergency Energy Import Deal,Ministry of Finance
RSP-00434,Port Security Enhancement,Ministry of Defense
RSP-00435,Naval Escort Deployment,Emergency Management Agency
RSP-00436,Port Security Enhancement,Ministry of Finance
RSP-00437,Fuel Subsidy Increase,Emergency Management Agency
RSP-00438,Coal-to-Gas Switching Ban,Ministry of Finance
RSP-00439,Port Security Enhancement,Ministry of Trade
RSP-00440,LNG Terminal Fast-Track,Central Bank
RSP-00441,Maritime Insurance Fund,Central Bank
RSP-00442,Maritime Insurance Fund,Ministry of Finance
RSP-00443,Fuel Subsidy Increase,Central Bank
RSP-00444,Fuel Subsidy Increase,Maritime Authority
RSP-00445,Port Security Enhancement,National Oil Company
RSP-00446,SPR Release,Maritime Authority
RSP-00447,SPR Release,Central Bank
RSP-00448,Coal-to-Gas Switching Ban,Ministry of Trade
RSP-00449,SPR Release,Maritime Authority
RSP-00450,Emergency Energy Import Deal,Ministry of Defense
RSP-00451,SPR Release,Central Bank
RSP-00452,Alternative Supplier Agreement,Maritime Authority
RSP-00453,LNG Terminal Fast-Track,Ministry of Defense
RSP-00454,LNG Terminal Fast-Track,Ministry of Trade
RSP-00455,SPR Release,Ministry of Finance
RSP-00456,Cyber Defense for Energy Grid,Ministry of Defense
RSP-00457,Refinery Capacity Expansion,Emergency Management Agency
RSP-00458,Port Security Enhancement,Emergency Management Agency
RSP-00459,Naval Escort Deployment,Ministry of Finance
RSP-00460,Naval Escort Deployment,Ministry of Defense
RSP-00461,Port Security Enhancement,Maritime Authority
RSP-00462,Coal-to-Gas Switching Ban,Ministry of Defense
RSP-00463,Freight Corridor Agreement,National Oil Company
RSP-00464,SPR Release,Emergency Management Agency
RSP-00465,Fuel Subsidy Increase,Emergency Management Agency
RSP-00466,Freight Corridor Agreement,Ministry of Finance
RSP-00467,Naval Escort Deployment,Maritime Authority
RSP-00468,Emergency Energy Import Deal,Ministry of Defense
RSP-00469,Bilateral Defense Pact,Emergency Management Agency
RSP-00470,Fuel Subsidy Increase,Ministry of Trade
RSP-00471,Renewable Energy Fast-Track,Central Bank
RSP-00472,Emergency Energy Import Deal,Ministry of Finance
RSP-00473,Port Security Enhancement,Emergency Management Agency
RSP-00474,Port Security Enhancement,Ministry of Finance
RSP-00475,Bilateral Defense Pact,Ministry of Finance
RSP-00476,Freight Corridor Agreement,Ministry of Finance
RSP-00477,Emergency Energy Import Deal,Maritime Authority
RSP-00478,Alternative Supplier Agreement,Central Bank
RSP-00479,Alternative Supplier Agreement,Ministry of Trade
RSP-00480,Strategic Fuel Stockpile Mandate,Emergency Management Agency
RSP-00481,Emergency Energy Import Deal,Ministry of Energy
RSP-00482,Strategic Fuel Stockpile Mandate,Ministry of Finance
RSP-00483,Emergency Energy Import Deal,Emergency Management Agency
RSP-00484,Refinery Capacity Expansion,Ministry of Defense
RSP-00485,Bilateral Defense Pact,Ministry of Finance
RSP-00486,Maritime Insurance Fund,Central Bank
RSP-00487,Cyber Defense for Energy Grid,Emergency Management Agency
RSP-00488,Bilateral Defense Pact,Emergency Management Agency
RSP-00489,Naval Escort Deployment,Emergency Management Agency
RSP-00490,Coal-to-Gas Switching Ban,Emergency Management Agency
RSP-00491,Emergency Energy Import Deal,Emergency Management Agency
RSP-00492,Freight Corridor Agreement,National Oil Company
RSP-00493,Refinery Capacity Expansion,Emergency Management Agency
RSP-00494,SPR Release,Central Bank
RSP-00495,Refinery Capacity Expansion,Maritime Authority
