event_key,incident_type,severity_level,route_key
EVT-00029,Unexploded Ordnance Discovery,Minor,Bab el-Mandeb / Red Sea
EVT-00030,Insurance No-Go Zone Declaration,Minor,Persian Gulf – Sea of Japan
EVT-00031,Insurance No-Go Zone Declaration,Moderate,Persian Gulf – Sea of Japan
EVT-00032,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00033,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00034,Cyber-Attack on Port Systems,Severe,Strait of Hormuz
EVT-00035,Naval Mine Detonation,Severe,Strait of Malacca
EVT-00036,Cyber-Attack on Port Systems,Minor,Persian Gulf – Bay of Bengal
EVT-00037,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00038,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00039,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00040,GPS Spoofing / Jamming Incident,Critical,Strait of Hormuz
EVT-00041,Unexploded Ordnance Discovery,Severe,Bab el-Mandeb / Red Sea
EVT-00042,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00043,Oil Spill from Damaged Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00044,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00045,Drone Strike Near Vessel,Moderate,Strait of Hormuz
EVT-00046,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00047,Naval Mine Detonation,Critical,Strait of Hormuz
EVT-00048,GPS Spoofing / Jamming Incident,Moderate,Strait of Hormuz
EVT-00049,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00050,IRGC Fast-Boat Harassment,Critical,Suez Canal
EVT-00051,Maritime Corridor Suspension,Severe,Suez Canal
EVT-00052,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00053,GPS Spoofing / Jamming Incident,Severe,Persian Gulf – Bay of Bengal
EVT-00054,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00055,Oil Spill from Damaged Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00056,Port Closure (Military),Critical,Bab el-Mandeb / Red Sea
EVT-00057,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00058,Port Closure (Military),Minor,Strait of Hormuz
EVT-00059,Maritime Corridor Suspension,Minor,Suez Canal
EVT-00060,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00061,Oil Spill from Damaged Tanker,Minor,Strait of Hormuz
EVT-00062,Port Closure (Military),Minor,Strait of Hormuz
EVT-00063,Maritime Corridor Suspension,Critical,Bab el-Mandeb / Red Sea
EVT-00064,Unexploded Ordnance Discovery,Severe,Suez Canal
EVT-00065,IRGC Fast-Boat Harassment,Severe,Suez Canal
EVT-00066,Missile Attack on Tanker,Minor,Suez Canal
EVT-00067,Piracy / Armed Boarding,Critical,Persian Gulf – Sea of Japan
EVT-00068,Unexploded Ordnance Discovery,Minor,Suez Canal
EVT-00069,Insurance No-Go Zone Declaration,Moderate,Suez Canal
EVT-00070,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00071,Drone Strike Near Vessel,Moderate,Cape of Good Hope (reroute)
EVT-00072,Drone Strike Near Vessel,Severe,Bab el-Mandeb / Red Sea
EVT-00073,Maritime Corridor Suspension,Severe,Strait of Hormuz
EVT-00074,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00075,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00076,Naval Mine Detonation,Severe,Suez Canal
EVT-00077,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-00078,IRGC Fast-Boat Harassment,Critical,Suez Canal
EVT-00079,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00080,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00081,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00082,Insurance No-Go Zone Declaration,Critical,Strait of Hormuz
EVT-00083,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00084,Military Blockade Enforcement,Moderate,Bab el-Mandeb / Red Sea
EVT-00085,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00086,Piracy / Armed Boarding,Minor,Suez Canal
EVT-00087,Piracy / Armed Boarding,Severe,Cape of Good Hope (reroute)
EVT-00088,Unexploded Ordnance Discovery,Moderate,Strait of Hormuz
EVT-00089,Naval Mine Detonation,Moderate,Persian Gulf – East China Sea
EVT-00090,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00091,Port Closure (Military),Minor,Persian Gulf – Bay of Bengal
EVT-00092,Houthi Anti-Ship Missile,Severe,Strait of Hormuz
EVT-00093,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00094,GPS Spoofing / Jamming Incident,Critical,Strait of Malacca
EVT-00095,GPS Spoofing / Jamming Incident,Moderate,Bab el-Mandeb / Red Sea
EVT-00096,IRGC Fast-Boat Harassment,Minor,Suez Canal
EVT-00097,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00098,Coalition Naval Escort Delay,Moderate,Persian Gulf – Sea of Japan
EVT-00099,Port Closure (Military),Moderate,Suez Canal
EVT-00100,Military Blockade Enforcement,Minor,Arabian Sea – South China Sea
EVT-00101,Maritime Corridor Suspension,Moderate,Strait of Hormuz
EVT-00102,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00103,GPS Spoofing / Jamming Incident,Critical,Cape of Good Hope (reroute)
EVT-00104,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00105,Insurance No-Go Zone Declaration,Minor,Persian Gulf – East China Sea
EVT-00106,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00107,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00108,Unexploded Ordnance Discovery,Severe,Suez Canal
EVT-00109,Houthi Anti-Ship Missile,Severe,Strait of Malacca
EVT-00110,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00111,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00112,Unexploded Ordnance Discovery,Moderate,Aden Gulf – Indian Ocean
EVT-00113,Military Blockade Enforcement,Minor,Aden Gulf – Indian Ocean
EVT-00114,Coalition Naval Escort Delay,Moderate,Bab el-Mandeb / Red Sea
EVT-00115,IRGC Fast-Boat Harassment,Severe,Strait of Malacca
EVT-00116,Naval Mine Detonation,Moderate,Suez Canal
EVT-00117,Missile Attack on Tanker,Severe,Persian Gulf – East China Sea
EVT-00118,Naval Mine Detonation,Critical,Cape of Good Hope (reroute)
EVT-00119,Naval Mine Detonation,Severe,Aden Gulf – Indian Ocean
EVT-00120,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00121,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00122,Cyber-Attack on Port Systems,Minor,Persian Gulf – Bay of Bengal
EVT-00123,Insurance No-Go Zone Declaration,Moderate,Strait of Hormuz
EVT-00124,Unexploded Ordnance Discovery,Severe,Suez Canal
EVT-00125,Military Blockade Enforcement,Minor,Cape of Good Hope (reroute)
EVT-00126,Military Blockade Enforcement,Severe,Strait of Hormuz
EVT-00127,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
EVT-00128,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00129,Oil Spill from Damaged Tanker,Severe,Strait of Hormuz
EVT-00130,Cyber-Attack on Port Systems,Moderate,Cape of Good Hope (reroute)
EVT-00131,Piracy / Armed Boarding,Minor,Suez Canal
EVT-00132,Coalition Naval Escort Delay,Critical,Suez Canal
EVT-00133,Insurance No-Go Zone Declaration,Moderate,Cape of Good Hope (reroute)
EVT-00134,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00135,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00136,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00137,Unexploded Ordnance Discovery,Severe,Bab el-Mandeb / Red Sea
EVT-00138,Missile Attack on Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00139,Cyber-Attack on Port Systems,Moderate,Suez Canal
EVT-00140,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00141,Unexploded Ordnance Discovery,Minor,Bab el-Mandeb / Red Sea
EVT-00142,Maritime Corridor Suspension,Minor,Cape of Good Hope (reroute)
EVT-00143,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00144,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00145,Military Blockade Enforcement,Minor,Strait of Hormuz
EVT-00146,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00147,Houthi Anti-Ship Missile,Severe,Bab el-Mandeb / Red Sea
EVT-00148,Unexploded Ordnance Discovery,Severe,Bab el-Mandeb / Red Sea
EVT-00149,Port Closure (Military),Moderate,Suez Canal
EVT-00150,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00151,Piracy / Armed Boarding,Severe,Persian Gulf – East China Sea
EVT-00152,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00153,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00154,Drone Strike Near Vessel,Severe,Suez Canal
EVT-00155,GPS Spoofing / Jamming Incident,Moderate,Suez Canal
EVT-00156,Unexploded Ordnance Discovery,Critical,Strait of Hormuz
EVT-00157,Cyber-Attack on Port Systems,Minor,Strait of Hormuz
EVT-00158,Insurance No-Go Zone Declaration,Moderate,Bab el-Mandeb / Red Sea
EVT-00159,Cyber-Attack on Port Systems,Minor,Cape of Good Hope (reroute)
EVT-00160,Piracy / Armed Boarding,Minor,Bab el-Mandeb / Red Sea
EVT-00161,Drone Strike Near Vessel,Moderate,Strait of Hormuz
EVT-00162,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00163,Drone Strike Near Vessel,Minor,Suez Canal
EVT-00164,Maritime Corridor Suspension,Critical,Cape of Good Hope (reroute)
EVT-00165,Coalition Naval Escort Delay,Minor,Persian Gulf – Bay of Bengal
EVT-00166,Piracy / Armed Boarding,Minor,Strait of Hormuz
EVT-00167,IRGC Fast-Boat Harassment,Moderate,Strait of Malacca
EVT-00168,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00169,Naval Mine Detonation,Critical,Suez Canal
EVT-00170,GPS Spoofing / Jamming Incident,Minor,Strait of Hormuz
EVT-00171,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00172,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00173,Piracy / Armed Boarding,Critical,Suez Canal
EVT-00174,Unexploded Ordnance Discovery,Minor,Suez Canal
EVT-00175,Insurance No-Go Zone Declaration,Critical,Persian Gulf – East China Sea
EVT-00176,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00177,Drone Strike Near Vessel,Severe,Persian Gulf – Bay of Bengal
EVT-00178,Oil Spill from Damaged Tanker,Severe,Strait of Hormuz
EVT-00179,Naval Mine Detonation,Severe,Persian Gulf – Bay of Bengal
EVT-00180,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00181,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-00182,Houthi Anti-Ship Missile,Minor,Bab el-Mandeb / Red Sea
EVT-00183,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00184,Cyber-Attack on Port Systems,Moderate,Arabian Sea – South China Sea
EVT-00185,IRGC Fast-Boat Harassment,Moderate,Strait of Hormuz
EVT-00186,GPS Spoofing / Jamming Incident,Severe,Strait of Malacca
EVT-00187,IRGC Fast-Boat Harassment,Severe,Bab el-Mandeb / Red Sea
EVT-00188,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00189,Military Blockade Enforcement,Critical,Bab el-Mandeb / Red Sea
EVT-00190,Missile Attack on Tanker,Severe,Persian Gulf – Bay of Bengal
EVT-00191,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00192,Drone Strike Near Vessel,Minor,Strait of Hormuz
EVT-00193,Cyber-Attack on Port Systems,Moderate,Strait of Hormuz
EVT-00194,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00195,Cyber-Attack on Port Systems,Moderate,Bab el-Mandeb / Red Sea
EVT-00196,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00197,Unexploded Ordnance Discovery,Moderate,Strait of Hormuz
EVT-00198,Drone Strike Near Vessel,Critical,Bab el-Mandeb / Red Sea
EVT-00199,Insurance No-Go Zone Declaration,Critical,Bab el-Mandeb / Red Sea
EVT-00200,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00201,Port Closure (Military),Minor,Suez Canal
EVT-00202,Naval Mine Detonation,Minor,Aden Gulf – Indian Ocean
EVT-00203,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00204,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00205,Military Blockade Enforcement,Moderate,Suez Canal
EVT-00206,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00207,Oil Spill from Damaged Tanker,Minor,Persian Gulf – East China Sea
EVT-00208,Houthi Anti-Ship Missile,Critical,Bab el-Mandeb / Red Sea
EVT-00209,Maritime Corridor Suspension,Critical,Strait of Hormuz
EVT-00210,Drone Strike Near Vessel,Critical,Cape of Good Hope (reroute)
EVT-00211,Maritime Corridor Suspension,Moderate,Suez Canal
EVT-00212,Coalition Naval Escort Delay,Critical,Persian Gulf – Bay of Bengal
EVT-00213,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00214,Missile Attack on Tanker,Severe,Cape of Good Hope (reroute)
EVT-00215,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00216,IRGC Fast-Boat Harassment,Minor,Cape of Good Hope (reroute)
EVT-00217,Houthi Anti-Ship Missile,Critical,Persian Gulf – Sea of Japan
EVT-00218,Naval Mine Detonation,Minor,Strait of Hormuz
EVT-00219,Drone Strike Near Vessel,Moderate,Aden Gulf – Indian Ocean
EVT-00220,Oil Spill from Damaged Tanker,Minor,Persian Gulf – Bay of Bengal
EVT-00221,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00222,Missile Attack on Tanker,Moderate,Aden Gulf – Indian Ocean
EVT-00223,Insurance No-Go Zone Declaration,Severe,Suez Canal
EVT-00224,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00225,Maritime Corridor Suspension,Moderate,Strait of Hormuz
EVT-00226,Houthi Anti-Ship Missile,Severe,Suez Canal
EVT-00227,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00228,Coalition Naval Escort Delay,Minor,Strait of Hormuz
EVT-00229,IRGC Fast-Boat Harassment,Moderate,Strait of Hormuz
EVT-00230,Drone Strike Near Vessel,Moderate,Strait of Hormuz
EVT-00231,Port Closure (Military),Minor,Bab el-Mandeb / Red Sea
EVT-00232,Coalition Naval Escort Delay,Moderate,Strait of Hormuz
EVT-00233,Piracy / Armed Boarding,Severe,Suez Canal
EVT-00234,Military Blockade Enforcement,Moderate,Suez Canal
EVT-00235,Maritime Corridor Suspension,Moderate,Persian Gulf – Bay of Bengal
EVT-00236,Military Blockade Enforcement,Severe,Suez Canal
EVT-00237,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00238,Oil Spill from Damaged Tanker,Critical,Persian Gulf – Bay of Bengal
EVT-00239,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00240,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00241,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00242,Military Blockade Enforcement,Critical,Strait of Hormuz
EVT-00243,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00244,Unexploded Ordnance Discovery,Minor,Suez Canal
EVT-00245,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00246,Cyber-Attack on Port Systems,Minor,Bab el-Mandeb / Red Sea
EVT-00247,GPS Spoofing / Jamming Incident,Moderate,Cape of Good Hope (reroute)
EVT-00248,Missile Attack on Tanker,Moderate,Strait of Malacca
EVT-00249,GPS Spoofing / Jamming Incident,Minor,Bab el-Mandeb / Red Sea
EVT-00250,Military Blockade Enforcement,Minor,Strait of Hormuz
EVT-00251,Oil Spill from Damaged Tanker,Minor,Strait of Malacca
EVT-00252,Naval Mine Detonation,Critical,Persian Gulf – Bay of Bengal
EVT-00253,Piracy / Armed Boarding,Moderate,Bab el-Mandeb / Red Sea
EVT-00254,Piracy / Armed Boarding,Minor,Suez Canal
EVT-00255,Maritime Corridor Suspension,Severe,Suez Canal
EVT-00256,Military Blockade Enforcement,Critical,Cape of Good Hope (reroute)
EVT-00257,Houthi Anti-Ship Missile,Minor,Strait of Hormuz
EVT-00258,GPS Spoofing / Jamming Incident,Severe,Strait of Hormuz
EVT-00259,Missile Attack on Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00260,Houthi Anti-Ship Missile,Moderate,Strait of Malacca
EVT-00261,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00262,Drone Strike Near Vessel,Severe,Strait of Hormuz
EVT-00263,IRGC Fast-Boat Harassment,Minor,Persian Gulf – Bay of Bengal
EVT-00264,Houthi Anti-Ship Missile,Minor,Strait of Malacca
EVT-00265,Port Closure (Military),Minor,Cape of Good Hope (reroute)
EVT-00266,Naval Mine Detonation,Moderate,Persian Gulf – East China Sea
EVT-00267,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00268,Cyber-Attack on Port Systems,Severe,Strait of Hormuz
EVT-00269,Coalition Naval Escort Delay,Moderate,Strait of Hormuz
EVT-00270,Coalition Naval Escort Delay,Minor,Bab el-Mandeb / Red Sea
EVT-00271,Missile Attack on Tanker,Moderate,Strait of Hormuz
EVT-00272,Oil Spill from Damaged Tanker,Moderate,Arabian Sea – South China Sea
EVT-00273,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00274,Missile Attack on Tanker,Minor,Strait of Hormuz
EVT-00275,Missile Attack on Tanker,Severe,Strait of Hormuz
EVT-00276,Piracy / Armed Boarding,Moderate,Persian Gulf – Sea of Japan
EVT-00277,IRGC Fast-Boat Harassment,Moderate,Persian Gulf – Bay of Bengal
EVT-00278,GPS Spoofing / Jamming Incident,Minor,Strait of Hormuz
EVT-00279,Naval Mine Detonation,Minor,Bab el-Mandeb / Red Sea
EVT-00280,Oil Spill from Damaged Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00281,Port Closure (Military),Moderate,Strait of Hormuz
EVT-00282,Insurance No-Go Zone Declaration,Minor,Strait of Hormuz
EVT-00283,Naval Mine Detonation,Severe,Bab el-Mandeb / Red Sea
EVT-00284,Cyber-Attack on Port Systems,Critical,Arabian Sea – South China Sea
EVT-00285,Port Closure (Military),Moderate,Persian Gulf – East China Sea
EVT-00286,IRGC Fast-Boat Harassment,Minor,Aden Gulf – Indian Ocean
EVT-00287,GPS Spoofing / Jamming Incident,Moderate,Cape of Good Hope (reroute)
EVT-00288,Naval Mine Detonation,Severe,Bab el-Mandeb / Red Sea
EVT-00289,Cyber-Attack on Port Systems,Critical,Bab el-Mandeb / Red Sea
EVT-00290,Oil Spill from Damaged Tanker,Severe,Bab el-Mandeb / Red Sea
EVT-00291,Naval Mine Detonation,Moderate,Persian Gulf – East China Sea
EVT-00292,GPS Spoofing / Jamming Incident,Moderate,Strait of Hormuz
EVT-00293,Naval Mine Detonation,Severe,Strait of Hormuz
EVT-00294,Oil Spill from Damaged Tanker,Critical,Bab el-Mandeb / Red Sea
EVT-00295,Piracy / Armed Boarding,Moderate,Suez Canal
EVT-00296,Insurance No-Go Zone Declaration,Severe,Bab el-Mandeb / Red Sea
EVT-00297,GPS Spoofing / Jamming Incident,Minor,Strait of Hormuz
EVT-00298,Unexploded Ordnance Discovery,Minor,Cape of Good Hope (reroute)
EVT-00299,Military Blockade Enforcement,Moderate,Persian Gulf – Bay of Bengal
EVT-00300,Piracy / Armed Boarding,Critical,Persian Gulf – East China Sea
EVT-00301,Maritime Corridor Suspension,Severe,Strait of Hormuz
EVT-00302,IRGC Fast-Boat Harassment,Minor,Strait of Hormuz
EVT-00303,Port Closure (Military),Minor,Strait of Hormuz
EVT-00304,Military Blockade Enforcement,Minor,Persian Gulf – Bay of Bengal
EVT-00305,IRGC Fast-Boat Harassment,Moderate,Bab el-Mandeb / Red Sea
EVT-00306,Missile Attack on Tanker,Moderate,Persian Gulf – Sea of Japan
EVT-00307,Drone Strike Near Vessel,Moderate,Persian Gulf – Bay of Bengal
EVT-00308,Unexploded Ordnance Discovery,Severe,Strait of Hormuz
EVT-00309,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00310,Piracy / Armed Boarding,Moderate,Suez Canal
EVT-00311,Missile Attack on Tanker,Moderate,Strait of Hormuz
EVT-00312,IRGC Fast-Boat Harassment,Minor,Bab el-Mandeb / Red Sea
EVT-00313,Port Closure (Military),Minor,Strait of Malacca
EVT-00314,Military Blockade Enforcement,Severe,Persian Gulf – East China Sea
EVT-00315,Naval Mine Detonation,Severe,Suez Canal
EVT-00316,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00317,Naval Mine Detonation,Critical,Cape of Good Hope (reroute)
EVT-00318,Coalition Naval Escort Delay,Severe,Persian Gulf – Sea of Japan
EVT-00319,Coalition Naval Escort Delay,Severe,Bab el-Mandeb / Red Sea
EVT-00320,Missile Attack on Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00321,Oil Spill from Damaged Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00322,Piracy / Armed Boarding,Severe,Bab el-Mandeb / Red Sea
EVT-00323,Coalition Naval Escort Delay,Minor,Suez Canal
EVT-00324,Missile Attack on Tanker,Moderate,Suez Canal
EVT-00325,Missile Attack on Tanker,Moderate,Suez Canal
EVT-00326,Insurance No-Go Zone Declaration,Moderate,Suez Canal
EVT-00327,Military Blockade Enforcement,Minor,Bab el-Mandeb / Red Sea
EVT-00328,Maritime Corridor Suspension,Severe,Persian Gulf – Sea of Japan
EVT-00329,Drone Strike Near Vessel,Moderate,Bab el-Mandeb / Red Sea
EVT-00330,Houthi Anti-Ship Missile,Minor,Suez Canal
EVT-00331,Insurance No-Go Zone Declaration,Severe,Persian Gulf – East China Sea
EVT-00332,Unexploded Ordnance Discovery,Moderate,Bab el-Mandeb / Red Sea
EVT-00333,IRGC Fast-Boat Harassment,Minor,Strait of Malacca
EVT-00334,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00335,Cyber-Attack on Port Systems,Minor,Suez Canal
EVT-00336,Cyber-Attack on Port Systems,Minor,Persian Gulf – East China Sea
EVT-00337,Oil Spill from Damaged Tanker,Critical,Strait of Hormuz
EVT-00338,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00339,Coalition Naval Escort Delay,Severe,Strait of Hormuz
EVT-00340,Missile Attack on Tanker,Severe,Persian Gulf – East China Sea
EVT-00341,Maritime Corridor Suspension,Minor,Aden Gulf – Indian Ocean
EVT-00342,Oil Spill from Damaged Tanker,Minor,Bab el-Mandeb / Red Sea
EVT-00343,Insurance No-Go Zone Declaration,Minor,Bab el-Mandeb / Red Sea
EVT-00344,Naval Mine Detonation,Minor,Persian Gulf – East China Sea
EVT-00345,Maritime Corridor Suspension,Moderate,Bab el-Mandeb / Red Sea
EVT-00346,Military Blockade Enforcement,Severe,Strait of Malacca
EVT-00347,Cyber-Attack on Port Systems,Severe,Bab el-Mandeb / Red Sea
EVT-00348,Naval Mine Detonation,Moderate,Strait of Hormuz
EVT-00349,Military Blockade Enforcement,Severe,Suez Canal
EVT-00350,Piracy / Armed Boarding,Moderate,Strait of Hormuz
EVT-00351,Drone Strike Near Vessel,Moderate,Persian Gulf – Bay of Bengal
EVT-00352,Maritime Corridor Suspension,Minor,Cape of Good Hope (reroute)
EVT-00353,Cyber-Attack on Port Systems,Severe,Suez Canal
EVT-00354,Missile Attack on Tanker,Moderate,Bab el-Mandeb / Red Sea
EVT-00355,Maritime Corridor Suspension,Moderate,Bab el-Mandeb / Red Sea
EVT-00356,IRGC Fast-Boat Harassment,Minor,Strait of Malacca
EVT-00357,Oil Spill from Damaged Tanker,Moderate,Strait of Hormuz
EVT-00358,IRGC Fast-Boat Harassment,Minor,Persian Gulf – East China Sea
EVT-00359,IRGC Fast-Boat Harassment,Moderate,Persian Gulf – Bay of Bengal
EVT-00360,Cyber-Attack on Port Systems,Minor,Persian Gulf – Sea of Japan
EVT-00361,Missile Attack on Tanker,Moderate,Persian Gulf – Bay of Bengal
EVT-00362,Piracy / Armed Boarding,Severe,Strait of Hormuz
EVT-00363,Oil Spill from Damaged Tanker,Minor,Cape of Good Hope (reroute)
EVT-00364,Unexploded Ordnance Discovery,Moderate,Persian Gulf – Bay of Bengal
EVT-00365,Maritime Corridor Suspension,Minor,Strait of Hormuz
EVT-00366,Drone Strike Near Vessel,Minor,Bab el-Mandeb / Red Sea
EVT-00367,Cyber-Attack on Port Systems,Moderate,Suez Canal
EVT-00368,Unexploded Ordnance Discovery,Minor,Strait of Hormuz
